Track,Track ID,Artist,Artist ID,Playlisted,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acoustic,Instrumental,Liveness,Valence,Tempo,Dur,Sig
Snow Song,3eWZMg4zOQmWwkNeCudFhw,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,1.3758218320825446,-1.473290096901258,1.6072594151314619,-0.8883455970529054,0.541457361328183,-0.242799790377698,1.2384019356284157,-0.6484491968588473,-0.39385402606336545,-1.3212775142919129,-0.3487255216581575,0.24350888437408072,0.28497097804159094
music for indigo,6x71bwm218fzxV1r4WCJUB,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-1.3149323736389442,-1.6057556052373005,1.041725156741366,-2.8642191750755117,0.541457361328183,-0.10737569945376528,1.2976631828660665,2.045684450234731,-0.2911306256917212,-1.2520086087391216,-1.612862228241307,11.088650970618964,0.28497097804159094
forwards beckon rebound,6PBanBy8L1K2Ry4UN186XH,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.25525067185920003,-1.041708924580603,-0.9376447476239702,-1.7989655938807159,0.541457361328183,-0.200479761963969,1.2101822940866769,-0.6494395398143906,-0.7897342074956247,1.0554257947743912,0.10398617006567716,-0.2496719017439742,0.28497097804159094
cradle,147unUi3ML4lWVCMYhSMrF,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.7947849341889585,-0.8024163933929133,0.4761908983512699,-0.9236765881602296,-1.846867493955613,-0.30204783015691844,1.3823221074912828,0.4203606066885157,-0.7304707072812147,0.5875166314376552,0.5319614490031024,-0.1666151626010316,0.28497097804159094
A Love of Some Kind,5I36iT91lRGnO0galWJnyP,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,1.4242415735736769,-1.1784475138307113,1.041725156741366,-0.7046728419127757,0.541457361328183,-0.139115720764062,1.032398552373723,-0.6478464068508525,0.8862375785678919,0.21594170761142342,-0.7896697484421715,-0.41933329265201885,-1.5764351976768851
heavy focus,3hHxcz8pGLihxsoAGlBo3v,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-0.06293620079681184,-1.5202939869559826,1.3244922859364139,-1.650865822937686,0.541457361328183,-0.17508774491573162,1.2779094337868497,-0.6489793995883925,-0.5597918266637136,-0.8620843059585079,0.6858572742671182,-0.612992806399626,0.28497097804159094
symbol,7f3xVpWfp3FPursBSrIEMJ,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.3451730489141599,0.5649694991081714,0.4761908983512699,-0.36152664061013573,0.541457361328183,-0.3485998614120203,1.213004258240851,2.118271728684368,-0.37805042600618943,1.4545247870321956,0.9581345035803753,0.16549666996235013,0.28497097804159094
blue and red horses,0Pbscg9OvoaqlGZln2dkNt,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,0.8293704638254815,-0.7682317460803861,-0.3721104892338742,-0.11033781342244851,0.541457361328183,-0.3316718500465287,1.3597463942578918,-0.636983562832433,-0.5518900266351257,-0.6051930005971626,-0.34607519171675644,-0.16800711652063988,0.28497097804159094
half return,1i8dJGpKO0xQiKGCVslJqB,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,-0.4779625564350878,-0.4263852729551149,-0.6548776184289222,-0.40024553497432647,0.541457361328183,-0.30204783015691844,0.9618494485193763,-0.5235896100195874,-0.45706842629206945,1.3673652369988825,0.8892966005690544,-0.885616924082906,0.28497097804159094
Butterfly,2gtQnRKAb4dRbrOH6MbhzN,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,0,1.085303383135752,-1.4006477213621378,0.4761908983512699,-1.4618692198224803,-1.846867493955613,-0.16662373923298573,1.4077197848788476,-0.5532557151250911,-0.4491666262634815,-0.49509672687087164,0.5301945623755023,-0.5196586330532598,-1.5764351976768851
